id,device,timestamp,MESSAGES_address,MESSAGES_body,MESSAGES_date,MESSAGES_locked,MESSAGES_person,MESSAGES_protocol,MESSAGES_read,MESSAGES_reply_path_present,MESSAGES_service_center,MESSAGES_status,MESSAGES_subject,MESSAGES_thread_id,MESSAGES_type
5f7dab98-a6b8-4c0d-8c0b-764fe75ed883-72,027c6245-b07f-4492-94e8-036454303f9c,1364530889,,,,,,,,,,,,,
151fdf9e-bca6-4f3f-aa13-cf76a411ad9c-85,027c6245-b07f-4492-94e8-036454303f9c,1364523689,,,,,,,,,,,,,
b532c9d5-2cec-4b69-8030-af51ad5b0666-92,027c6245-b07f-4492-94e8-036454303f9c,1364538089,,,,,,,,,,,,,
c27f91e0-5dc7-459e-b948-3a46104e06c8-105,027c6245-b07f-4492-94e8-036454303f9c,1364541689,,,,,,,,,,,,,
3a5d069f-e2e3-4cd6-8227-19544fac95e4-92,027c6245-b07f-4492-94e8-036454303f9c,1364545289,,,,,,,,,,,,,
927d0959-320e-42f4-a604-62466538ce8e-133,027c6245-b07f-4492-94e8-036454303f9c,1364548889,,,,,,,,,,,,,
4a8e148f-3772-4dc3-83ec-97e03a9d9a67-83,027c6245-b07f-4492-94e8-036454303f9c,1364552489,,,,,,,,,,,,,
e0101f88-f159-4eaa-964f-c6362d2377d1-119,027c6245-b07f-4492-94e8-036454303f9c,1364556089,,,,,,,,,,,,,
a6a3d95d-bc52-40a8-8196-137271a8572c-80,027c6245-b07f-4492-94e8-036454303f9c,1364599289,,,,,,,,,,,,,
2b9e8442-3b67-42c1-a577-d1300ca51049-82,027c6245-b07f-4492-94e8-036454303f9c,1364581289,,,,,,,,,,,,,
6ae972ca-5ff5-45ca-8ac2-b9c9e44a8d9c-78,027c6245-b07f-4492-94e8-036454303f9c,1364574089,,,,,,,,,,,,,
41b5ad81-5763-4352-bcd4-38f125b6bd64-75,027c6245-b07f-4492-94e8-036454303f9c,1364588489,,,,,,,,,,,,,
30119997-6916-46b4-b43c-c0760b26b0b9-79,027c6245-b07f-4492-94e8-036454303f9c,1364595689,,,,,,,,,,,,,
78b8bf33-c0ca-478f-bb54-cbab104e6af8-63,027c6245-b07f-4492-94e8-036454303f9c,1364610089,,,,,,,,,,,,,
28078453-89c1-4343-94fd-e7a676c58ca1-158,027c6245-b07f-4492-94e8-036454303f9c,1364577689,,,,,,,,,,,,,
59164f50-eb33-4ec8-851b-fb5c811738f3-67,027c6245-b07f-4492-94e8-036454303f9c,1364563289,,,,,,,,,,,,,
